35650               ,FORKLIFT PSN WAREHOUSE                  
64BBC04          ,"CONVEYOR, BELT, FEEDER BAY 2            "
64BBC05          ,"CONVEYOR, BELT, TELESCOPIC              "
64BBC06          ,"CONVEYOR, BELT, TELESCOPIC BAY 1        "
64BBC07          ,"CONVEYOR, BELT, TELESCOPIC BAY 2        "
64BBC08          ,"CONVEYOR, BELT BAG WEIGHER              "
64BBC09          ,"CONVEYOR, BELT LINK TO MAIN BC          "
64BBD01          ,"DEVIATOR, BAG BAY 1                     "
64BBD02          ,"DEVIATOR, BAG BAY 2                     "
64BBD03          ,"DEVIATOR, BAG, PUSHING-OFF DEVICE       "
64BDS01          ,"SCREEN, DRUM FOR BAGS CUTTER            "
64BRC01          ,"CUTTER, ROTARY, 1 ROTARY CUTTER 1       "
64BRC02          ,"CUTTER, ROTARY, 2 ROTARY CUTTER 2       "
64BSC01          ,"CONVEYOR, SCREW RETURN TO BUCKET        "
65A              ,DUST PLANT GROUP                        
65ABF01          ,"FILTER, BAG                             "
65AFN01          ,"FAN, EXHAUST DUST PLANT                 "
65ARF01          ,"FEEDER, ROTARY DUST PLANT               "
65ASC01          ,"CONVEYOR, SCREW FOR DUST PP1 NO1        "
65ASC02          ,"CONVEYOR, SCREW, 2 DUST PLANT TO BUCKET "
65B              ,DUST PLANT GROUP                        
65BBF01          ,"FILTER, BAG                             "
65BBF02          ,"FILTER, BAG PACKER                      "
65BBF03          ,"FILTER, BAG BAG CLEANER                 "
65BBF04          ,"FILTER, BAG                             "
65BDA01          ,DAMPER FOR 65BFN04                      
65BFN01          ,FAN DUST PLANT                          
65BFN02          ,"FAN DUST PLANT, ROTOR PACKER            "
65BFN03          ,"FAN, EXHAUST FOR BAG FILTER             "
65BFN04          ,FAN DUST PLANT                          
65BRF01          ,"FEEDER, ROTARY FOR DUSTPLANT BAGCLEANER "
65BRF04          ,"FEEDER, ROTARY AFTER SCREW, 65BSC02     "
65BSC02          ,"CONVEYOR, SCREW FOR 65BBF04             "
66B              ,PP2 PALLETIZER MACHINE                  
66BBC01          ,BELT CONVEYOR FOR PP2 PALLETIZER        
66BBC02          ,BELT CONVEYOR BAG ROTATING GROUP        
66BBD01          ,BAG DEFLECTOR BAG ROTATING GROUP        
66BBR01          ,BAG WRAPPING HOODING MACHINE (BOCEDI)   
66BCP01          ,PP2 PALLETIZER COMPRESSOR               
66BCP02          ,AIR COMPRESSOR PP2 BEBICON COMPRESSOR   
66BLF01          ,PALLET LIFTER                           
66BLM01          ,LOADING CONVEYOR TRANSFER BEL           
66BLM02          ,LOADING CONVEYOR FORMATION BELT         
66BPT01          ,PACING & PRESSING MODULE                
66BPX01          ,BAG PUSHER LAYER SHIFTING MODULE        
66BRO01          ,TRANSFER ROLLER                         
66BRO02          ,TRANS. ROLLER LIFTING FORKS TO HOODING  
A13              ,OIL FIRING GROUP                        
A13DG02          ,VALVE FOR OIL FIRING                    
A13DG03          ,VALVE FOR OIL FIRING                    
A13DG04          ,VALVE FOR OIL FIRING                    
A13DG05          ,VALVE FOR OIL FIRING                    
A13DG06          ,VALVE FOR OIL FIRING                    
A13DG07          ,VALVE FOR OIL FIRING                    
A13DG08          ,VALVE FOR OIL FIRING                    
A13DG09          ,VALVE FOR OIL FIRING                    
A13DG0A          ,VALVE FOR OIL FIRING                    
A13DG0B          ,VALVE FOR OIL FIRING                    
A13FP01          ,"PUMP, FUEL OIL FOR KILN FIRING          "
A13FP02          ,"PUMP, FUEL FOR OIL FIRING               "
A13FP03          ,"PUMP, FUEL FOR OIL FIRING               "
A13PH01          ,PREHEATER FUEL OIL PUMP FOR OIL FIRING  
A13PH02          ,PREHEATER FUEL OIL PUMP FOR OIL FIRING  
A13PH03          ,PREHEATER FUEL OIL PUMP FOR OIL FIRING  
A13SG01          ,SHUT OFF GATE                           
A13VM01          ,VALVE FOR OIL FIRING                    
A13VM02          ,VALVE FOR OIL FIRING                    
A13VM03          ,VALVE FOR OIL FIRING                    
A13VM04          ,VALVE FOR OIL FIRING                    
A13VV01          ,VALVE FOR OIL FIRING                    
A14              ,PADDY HUSK LINE 1 GROUP                 
A14BA01          ,"BLASTER, AIR FOR PADDY HUSK SILO        "
A14BA02          ,"BLASTER, AIR FOR PADDY HUSK INTERM. BIN "
A14BC01          ,"CONVEYOR, BELT FOR PADDY HUSK           "
A14BC02          ,"CONVEYOR, BELT FOR PADDY HUSK           "
A14BC03          ,"CONVEYOR, BELT FOR PADDY HUSK           "
A14BC04          ,"CONVEYOR, BELT FOR PADDY HUSK           "
A14BE01          ,"ELEVATOR, BUCKET FOR PADDY HUSK         "
A14BF01          ,"FILTER, BAG FOR P.HUSK TRANSPORTATION   "
A14BF02          ,"FILTER, BAG FOR P.HUSK TRANSPORTATION   "
A14CP01          ,"COMPRESSOR, AIR, UTILITY                "
A14FN01          ,"FAN, EXHAUST FOR P.HUSK TRANSPORTATION  "
A14FN02          ,"FAN, EXHAUST FOR P.HUSK TRANSPORTATION  "
A14GA01          ,GATE FOR PADDY HUSK TRANSPORTATION.     
A14GA02          ,GATE FOR PADDY HUSK TRANSPORTATION.     
A14GA03          ,GATE FOR PADDY HUSK TRANSPORTATION.     
A14GA04          ,GATE FOR PADDY HUSK TRANSPORTATION.     
A14GA05          ,GATE FOR PADDY HUSK TRANSPORTATION.     
A14GA06          ,GATE FOR PADDY HUSK TRANSPORTATION.     
A14GA07          ,GATE FOR PADDY HUSK TRANSPORTATION.     
A14HP01          ,HOPPER LINE1 PADDY HUSK                 
A14PG01          ,"GATE, PNEUMATIC FOR PADDY HUSK SILO     "
A14PG03          ,"GATE, PNEUMATIC, SLIDING FOR P.HUSK SILO"
A14PG04          ,"GATE, PNEUMATIC, SLIDING FOR P.HUSK SILO"
A14RF01          ,"FEEDER, ROTARY FOR P.HUSK BAG FILTER    "
A14RF02          ,"FEEDER, ROTARY FOR P.HUSK BAG FILTER    "
A14RF03          ,"FEEDER, ROTARY UNDER BC 3 TO PYROCLONE  "
A14SC01          ,"CONVEYOR, SCREW FOR P.HUSK TRANSPORT    "
A14SC02          ,"CONVEYOR, SCREW FOR P.HUSK TRANSPORT    "
A14SC03          ,"CONVEYOR, SCREW FOR P.HUSK TRANSPORT    "
A14SC04          ,"CONVEYOR, SCREW FOR P.HUSK TRANSPORT    "
A14SC05          ,"CONVEYOR, SCREW FOR P.HUSK TRANSPORT    "
A14SU01          ,"DAMPER, DOUBLE FLAP FOR P.HUSK TRANSPORT"
A14VB02          ,VIBRATOR FOR PADDY HUSK SILO            
A14VB03          ,"FEEDER, VIBRATING FOR PADDY HUSK SILO   "
A14VB04          ,"FEEDER, VIBRATING FOR PADDY HUSK SILO   "
A14VF01          ,"FEEDER, VIBRATING, FOR P.HUSK TRANSPORT "
A14VF02          ,"FEEDER, VIBRATING, FOR P.HUSK TRANSPORT "
A14VF03          ,"FEEDER, VIBRATING FOR PADDY HUSK SILO   "
A14VS01          ,"SCREEN, VIBRATING FOR P.HUSK TRANSPORT  "
A1A              ,COAL MILL 1 GROUP                       
A1A2K1A          ,"ANALYZER, GAS COAL MILL 1               "
A1AAI01          ,"AIR, CONDITION COAL MILL 1 GAS ANALYSER "
A1AAI02          ,"AIR, CONDITION COAL MILL 1 MCC          "
A1AAI03          ,"AIR, CONDITION COAL UNLOADING           "
A1ABC01          ,"CONVEYOR, BELT RAW COAL, UNDER HOPPER   "
A1ABC02          ,"CONVEYOR, BELT RAW COAL,STACKER BELT    "
A1ABC03          ,"CONVEYOR, BELT STACKER RAW COAL         "
A1ABC04          ,"CONVEYOR, BELT STACKER RAW COAL HP 2    "
A1ABC05          ,"CONVEYOR, BELT COAL, TO COAL CRUSHER    "
A1ABC06          ,"CONVEYOR, BELT TO COAL MILL 1/2/3,      "
A1ABC07          ,"CONVEYOR, BELT CHARCOAL HOPPER          "
A1ABC08          ,"CONVEYOR, BELT PAT COKE                 "
A1ABC09          ,"CONVEYOR, BELT PAT COKE                 "
A1ABF01          ,"FILTER, BAG COAL MILL 1 DEDUSTING       "
A1ABF02          ,"FILTER, BAG FOR PETER PUMP              "
A1ABI01          ,"BIN RAW COAL, AT COAL MILL 1            "
A1ABI02          ,"BIN, STORAGE FINE COAL                  "
A1ABL01          ,"BLOWER, ROOT FOR PETER PUMP             "
A1ABL02          ,"BLOWER, ROOT FOR PETER PUMP             "
A1ABM01          ,"MILL, BALL COAL MILL 1                  "
A1ACN01          ,CYCLONE INDUCED DRAFT FAN               
A1ACN02          ,"CYCLONE COAL MEAL, TOP OF COAL MEAL BIN "
A1ADU01          ,DUCTING FOR COAL MILL 1 PROCESS         
A1AELEC          ,COAL MILL 1 ELECTRICAL GROUP            
A1AFN01          ,"FAN, INDUCED DRAFT TO COAL MILL 1       "
A1AFN02          ,"FAN, EXHAUST FOR BAG FILTER             "
A1AFN03          ,"FAN, EXHAUST FOR BAG FILTER             "
A1AFN04          ,"FAN, SYSTEM FOR COAL MILL 1 PROCESS     "
A1AHC01          ,"CRUSHER, HAMMER RAW COAL                "
A1AHP01          ,HOPPER RAIL RAW COAL                    
A1AHP02          ,"HOPPER RAW COAL, FOR FEEDING TO CRUSHER "
A1AHP03          ,"HOPPER P/COKE FEEDING, HP3              "
A1ALG01          ,LIGHTING COAL MILL NO.1                 
A1ALQ01          ,"PUMP, GREASE FOR SCREW A1A SC01/02      "
A1AMD01          ,"DETECTOR, METAL ELECTROMAGNETIC         "
A1AMD02          ,"DETECTOR, METAL MAGNET FOR METAL SEPA.  "
A1AMS01          ,"SEPARATOR, MAGNETIC OF RAW COAL BELT 3  "
A1APP01          ,"PUMP, PNEUMATIC, PETER COAL MILL 1      "
A1ARF01          ,"FEEDER, ROTARY INDUCED DRAFT CYCE SEP.  "
A1ARF02          ,"FEEDER, ROTARY                          "
A1ARF03          ,"FEEDER, ROTARY FOR PETER PUMP           "
A1ARF04          ,"FEEDER, ROTARY CYCLONE                  "
A1ASC01          ,"CONVEYOR, SCREW FOR BAG FILTER          "
A1ASC02          ,"CONVEYOR, SCREW TO COAL MEAL BIN        "
A1ASC03          ,"CONVEYOR, SCREW UNDER COAL MEAL BIN     "
A1ASC04          ,"CONVEYOR, SCREW UNDER COAL MEAL BIN     "
A1ASC05          ,"CONVEYOR, SCREW PETER PUMP              "
A1ASC06          ,"CONVEYOR, SCREW RETURN UNDER AIR SEP    "
A1ASD01          ,DAMPER FOR HOT AIR CONTROL BEFORE CYC   
A1ASG01          ,"GATE, SHUT OFF                          "
A1ASR01          ,"SEPARATOR, AIR COAL MILL                "
A1AST01          ,STACKER RAW COAL                        
A1ASU01          ,"DAMPER, DOUBLE FLAP                     "
A1ATF01          ,"FEEDER, TABLE UNDER RAW COAL 1 BIN      "
A1ATV01          ,DAMPER MILL INLET                       
A1ATV02          ,DAMPER DEDUSTING FAN                    
A1ATV03          ,DAMPER BEHIND TUBE MILL                 
A1ATV04          ,DAMPER RETURN HOT GAS                   
A1ATV05          ,DAMPER SYSTEM MILL FAN                  
A1AVS01          ,"FEEDER, VIBRATING, 1 COAL UNLOADING     "
A1AVS02          ,"FEEDER, VIBRATING, 2 COAL UNLOADING     "
A1AVS03          ,"FEEDER, VIBRATING, 3 COAL UNLOADING     "
A1AWF01          ,"FEEDER, WEIGHT RAW COAL                 "
A1AWF02          ,"FEEDER, WEIGHT PET COKE                 "
A1B              ,COAL MILL 3 GROUP                       
A1B2K1A          ,"ANALYZER, GAS COAL MILL 3               "
A1BAC01          ,"CONVEYOR, FEEDER, APRON FOR COAL3 FEED  "
A1BBC01          ,"CONVEYOR, BELT TO COAL 3 BIN, RAW COAL  "
A1BBF01          ,"FILTER, BAG COAL MILL 3                 "
A1BBF02          ,"FILTER, BAG FOR SCREW PUMP              "
A1BBI01          ,"BIN, STORAGE RAW COAL BIN FOR COAL 3    "
A1BCA01          ,"HOIST, ELECTRIC COAL MILL 3             "
A1BCN01          ,CYCLONE HOT AIR TO COAL MILL            
A1BCP01          ,"COMPRESSOR, AIR FOR SCREW PUMP          "
A1BDA01          ,DAMPER FINE COAL BIN EXHAUST FAN        
A1BDY01          ,"DRYER, AIR CKD REFRIGERATED             "
A1BELEC          ,COAL MILL 3 ELECTRICAL GROUP            
A1BFN01          ,"FAN, EXHAUST FOR BAG FILTER             "
A1BFN02          ,FAN                                     
A1BFN03          ,"FAN, INDUCED DRAFT HOT AIR FOR          "
A1BFN04          ,"FAN, EXHAUST FOR BAG FILTER             "
A1BLG01          ,LIGHTING COAL MILL NO.3                 
A1BMW01          ,"DAMPER, FLAP, CHANGE OVER COAL 1/2/3    "
A1BPP01          ,"PUMP, SCREW COAL MEAL                   "
A1BRF01          ,"FEEDER, ROTARY HOT AIR CYCLONE          "
A1BRF02          ,"FEEDER, ROTARY TO PETER PUMP            "
A1BRF03          ,"FEEDER, ROTARY                          "
A1BRM01          ,"MILL, ROLLER COAL MILL 3                "
A1BRM01GB1       ,"REDUCER, GEAR COAL MILL 3               "
A1BRM01MO1       ,"MOTOR COAL MILL 3,                      "
A1BSC01          ,"CONVEYOR, SCREW                         "
A1BSD01          ,"DAMPER, CONTROL WASTE GAS DUCT          "
A1BSG01          ,"GATE , SHUT OFF FOR HOT GAS             "
A1BSG02          ,"GATE, SHUT OFF FOR HOT GAS              "
A1BSG03          ,GATE                                    
A1BSR01          ,"SEPARATOR, AIR COAL MILL 3              "
A1BSU01          ,"FLAP, TRIPLE BEFORE COAL MILL 3         "
A1BTR01          ,TRANSFORMER COAL MILL B                 
A1BTV01          ,DAMPER DEDUSTING FAN                    
A1BTV02          ,DAMPER SYSTEM MILL FAN                  
A1BTV03          ,DAMPER HOT GAS CIRCULATION              
A1BTV04          ,"DAMPER, CONTROL MILL INLET HOT GAS      "
A1C              ,COAL MILL 4 GROUP                       
A1C0001          ,COAL MILL 4 FEED GROUP                  
A1C0002          ,COAL GRINDING GROUP                     
A1C0003          ,COAL MILL 4 HOT GAS GROUP               
A1C2K1A          ,"ANALYZER, GAS COAL MILL 2 CO2/O2        "
A1CBC01          ,"CONVEYOR, BELT TO FEED BIN              "
A1CBC02          ,"CONVEYOR, BELT MILL FEEDING             "
A1CBC03          ,BELT CONVEYOR                           
A1CBF01          ,"FILTER, BAG COAL DUST                   "
A1CBI01          ,"BIN, STORAGE RAW COAL                   "
A1CBL01          ,BLOWER FOR PNEUMATIC PUMP 1             
A1CBL02          ,BLOWER FOR PNEUMATIC PUMP 2             
A1CCA01          ,"HOIST, ELECTRIC, 1 COAL MILL            "
A1CCA02          ,"HOIST, ELECTRIC, 2 COAL MILL BUILDING   "
A1CCLA01         ,"SEPARATOR, AIR COAL MILL 4              "
A1CCN01          ,"CYCLONE, 1                              "
A1CCN02          ,"CYCLONE, 2                              "
A1CCP01          ,"COMPRESSOR, AIR COAL MILL 4             "
A1CDA01          ,"DAMPER, CONTROL MILL FAN                "
A1CDA02          ,DAMPER CIRCULATION AIR                  
A1CDA03          ,"DAMPER, CONTROL FOR FAN 2               "
A1CDA04          ,"DAMPER, CONTROL FOR FAN 3               "
A1CELEC          ,COAL MILL 4 ELECTRICAL GROUP            
A1CEX01          ,"EXPLOSION, VENT 1                       "
A1CEX02          ,"EXPLOSION, VENT 2                       "
A1CEX03          ,"EXPLOSION, VENT 3                       "
A1CFN01          ,"FAN, EXHAUST BAG FILTER                 "
A1CFN02          ,"FAN, BOOSTER, 2 COAL MILL 4             "
A1CFN03          ,"FAN, BOOSTER, 3 COAL MILL 4             "
A1CFO01          ,"CO2 SYSTEM, PURGING                     "
A1CGA01          ,"GATE, SLIDE, 1 BAG FILTER PNEUMATIC     "
A1CGA02          ,"GATE, SLIDE, 2 BAG FILTER PNEUMATIC     "
A1CGA03          ,"GATE, SLIDE, 3 BAG FILTER PNEUMATIC     "
A1CGA04          ,"GATE, SLIDE, 4 BAG FILTER PNEUMATIC     "
A1CMV01          ,"VALVE, SHUT OFF, MANUAL, 1 BL01         "
A1CMV02          ,"VALVE, SHUT OFF, MANUAL, 2 BL02         "
A1CMV03          ,"VALVE, SHUT OFF, MANUAL, 3 BYPASS       "
A1CMV04          ,"VALVE, SHUT OFF, MANUAL, 4 PP02         "
A1CMV05          ,"VALVE, SHUT OFF, MANUAL, 5 PP01         "
A1CMV06          ,"VALVE, SHUT OFF, MANUAL, 6 BEFORE PP01  "
A1CMW01          ,"VALVE, 2 WAY DAMPER                     "
A1CPP01          ,"PUMP, PNEUMATIC. 1 TO FINE COAL BIN L 1 "
A1CPP02          ,"PUMP, PNEUMATIC. 2 PNEUMATIC PUMP 2     "
A1CRF01          ,"FEEDER, ROTARY, 1 BAG FILTER            "
A1CRF02          ,"FEEDER, ROTARY, 2 BAG FILTER            "
A1CRF03          ,"FEEDER, ROTARY, 3 BAG FILTER            "
A1CRF04          ,"FEEDER, ROTARY, 4 BAG FILTER            "
A1CRF05          ,"FEEDER, ROTARY CYCLONE 1                "
A1CRF06          ,"FEEDER, ROTARY CYCLONE 2                "
A1CRF07          ,"FEEDER, ROTARY MILL INLET RF FROM BC2,  "
A1CRL01          ,"MILL, ROLLER COAL                       "
A1CSC01          ,"CONVEYOR, SCREW, 1 FINE COAL            "
A1CSC02          ,"CONVEYOR, SCREW, 2 FINE COAL            "
A1CSC03          ,"CONVEYOR, SCREW, 3 FINE COAL            "
A1CSD02          ,SHUT OFF DAMPER FROM B.FILTER TO AICFN01
A1CSD03          ,SHUT OFF DAMPER                         
A1CSD04          ,SHUT OFF DAMPER FROM 42BFN1             
A1CSD05          ,HOT GAS DAMPER FROM L2 TO COAL MILL 4   
A1CSG01          ,"GATE, DAMPER BAG FILTER INLET GAS       "
A1CSG02          ,"GATE, DAMPER BAG FILTER OUTLET GAS      "
A1CSR01          ,"SEPARATOR, AIR COAL MILL 4              "
A1CSU01          ,"DAMPER, TRIPLE FLAP MILL INLET          "
A1CTR01          ,TRANSFORMER COAL MILL 4                 
A1CTV01          ,DAMPER MILL INLET HOT GAS               
A1CTV02          ,DAMPER FOR HOT GAS FROM LINE 1          
A1CTV03          ,DAMPER FOR HOT GAS FROM LINE 2          
A1CWF01          ,"FEEDER, WEIGHT RAW COAL                 "
A1D              ,COAL DRYER GROUP                        
A1DBC01          ,"CONVEYOR, BELT, 1                       "
A1DBC02          ,"CONVEYOR, BELT, 2                       "
A1DBC03          ,"CONVEYOR, BELT, 3                       "
A1DBC04          ,"CONVEYOR, BELT, 4                       "
A1DBE01          ,"ELEVATOR, BUCKET                        "
A1DCN00          ,"CYCLONE, COAL                           "
A1DCN1A          ,"CYCLONE, A                              "
A1DCN1B          ,"CYCLONE, B                              "
A1DDA01          ,"DAMPER, MANUAL, 1                       "
A1DDA02          ,"DAMPER, MOTORISED, 2 SURGE CHAMBER      "
A1DDA03          ,"DAMPER, MOTORISED, 3 SURGE CHAMBER      "
A1DDY01          ,"DYRER, AIR                              "
A1DFN01          ,"FAN, DRAFT                              "
A1DFN02          ,"FAN, DRAFT SURGE CHAMBER                "
A1DHP01          ,HOPPER COAL                             
A1DJN01          ,"JOINT, EXPANSION, 1                     "
A1DJN02          ,"JOINT, EXPANSION, 2                     "
A1DJN03          ,"JOINT, FLEXIBLE                         "
A1DRF01          ,"FEEDER, ROTARY, 1                       "
A1DRF02          ,"FEEDER, ROTARY, 2                       "
A1DSB00          ,SCRUBBER GROUP                          
A1DSB01          ,SCRUBBER                                
A1DSC01          ,"CONVEYOR, SCREW, 1 COAL PRE-DRYER       "
A1DSC02          ,"CONVEYOR, SCREW, 2 COAL PRE-DRYER       "
A1DSC03          ,"CONVEYOR, SCREW, 3 COAL PRE-DRYER       "
A1DSG01          ,"GATE, SHUT OFF, PNEUMATIC DAMPER        "
A1DSX01          ,"CONVEYOR, SCRAPER                       "
A1DTH00          ,HOT GAS SURGE CHAMBER                   
A1DTH01          ,"CHAMBER, SURGE                          "
A1DWP01          ,"PUMP, WATER, SCRUBBER                   "
A1DWP02          ,"PUMP, WATER, STANDBY FOR SCRUBBER SYSTEM"
A21              ,LINE 1 COMPRESSED AIR                   
A21AI01          ,"AIR, CONDITION AIR DRIER LINE1          "
A21CP01          ,"COMPRESSOR, AIR FOR UPGRADED LINE       "
A21CP02          ,"COMPRESSOR, AIR FOR UPGRADED LINE       "
A21CP03          ,"COMPRESSOR, AIR, 3 KILN 1 UPGRADE       "
A21CP04          ,"COMPRESSOR, AIR, 4 LINE 1 INDUSTRIAL AIR"
A21CP05          ,"COMPRESSOR, AIR, 5 LINE 1 INDUSTRIAL AIR"
A21CP06          ,"COMPRESSOR, AIR, 6 LINE 1 INDUSTRIAL AIR"
A21DY01          ,"DYRER, AIR FOR UPGRADED LINE            "
A21DY02          ,"DRYER, AIR FOR UPGRADED LINE            "
A21PV01          ,"VESSEL, PRESSURE FOR KILN 1CENTRAL      "
A30AI01          ,"AIR, CONDITION ELECTRIC ROOM 14         "
A31              ,LINE 1 WATER SUPPLY SYSTEM              
A31CH01          ,"PUMP, CHEMICAL DOSING FOR MAIN WATERTANK"
A31CH02          ,"PUMP, CHEMICAL DOSING FOR MAIN WATERTANK"
A31CH03          ,"PUMP, CHEMICAL DOSING FOR MAIN WATERTANK"
A31EC01          ,"COOLER, EVAPORATION LINE 1              "
A31FF00          ,LINE 1 FIRE FIGHTING PUMP GROUP         
A31FN01          ,FAN COOLING TOWER                       
A31WP00          ,LINE 1 INDUSTRIAL WATER PUMP GROUP      
A31WP01          ,"PUMP, WATER MAIN TANK                   "
A31WP02          ,"PUMP, WATER INTERMIDIATE TANK           "
A31WP03          ,"PUMP, WATER INTERMIDIATE TANK           "
A31WP04          ,"PUMP, WATER INTERMIDIATE TANK           "
A31WP05          ,"PUMP, WATER KILN 1 & RAW MILL 1 RETURN  "
A31WP06          ,"PUMP, WATER KILN 1 & RAW MILL 1 RETURN  "
A31WP09          ,"PUMP, WATER LINE 1 PREHEATER 75HP       "
A31WP10          ,"PUMP, WATER 1ST STRING PREHEATER        "
A31WP11          ,"PUMP, WATER, UTILITY FOR ROAD CLEANING  "
A31WP12          ,"PUMP, WATER 1ST STRING PREHEATER TANK   "
A31WP13          ,"PUMP, WATER CEMENT MILL 1 & 2           "
A31WP14          ,"PUMP, WATER CEMENT MILL 1 & 2           "
A31WP15          ,"PUMP, WATER CEMENT MILL 1 & 2           "
A31WP16          ,"PUMP, WATER CEMENT MILL 1 & 2           "
A31WP17          ,"PUMP, WATER DEEP TUBE WELL NO 2         "
A31WP18          ,"PUMP, WATER DEEP TUBE WELL NO 3         "
A31WP19          ,"PUMP, WATER POND                        "
A31WP20          ,"PUMP, WATER, SPRINKLER, L1 CABLE TUNNEL "
A31WP21          ,"PUMP, WATER, SPRINKLER, STANDBY L1      "
A31WP22          ,"PUMP, WATER, JOCKEY LINE1 CABLE TUNNEL  "
A31WT00          ,LINE 1 WATER TANK GROUP                 
A31WT01          ,"TANK, MAIN WATER                        "
A31WT02          ,"TANK, WATER RAW MILL 1 RETURN           "
A31WT03          ,TANK 1ST STRING PREHEATER TANK          
A31WT04          ,"TANK, WATER CEMENT MILL 1 & 2           "
A31WT05          ,"TANK, INTERMEDIATE 2ND STRING           "
A31WT06          ,"TANK, 2 CEMENT MILL 3 RP BUILDINGSUMP 2 "
A31WT07          ,"TANK, 1 LIMESTONE HAMMER MILL SUMP 1    "
E01SW01          ,"SWITCH GEAR, INCOIMNG, 1 132KV GIS      "
E01TR01          ,TRANSFORMER INCOMING 132/6.6 KV TR #1   
E03SW01          ,SWITCH GEAR & CABLE L1 6.6 KV MTS       
E05PL01          ,"PANEL, VVVF L1 STRING 1 IDF, ER15       "
E05SW01          ,SWITCH GEAR L1 6.6 KV PL1               
E06PL01          ,PANEL RAW MILL 1 W/F                    
E06PL02          ,"PANEL, 415V RAW MILL 1, CAP BANK        "
E06PL03          ,PANEL R.MIL1 RP DEPT.CAP.BANK ER13      
E06SW01          ,SWITCH GEAR RAW MILL 1 415V PANEL ER15  
E06TR01          ,"TRANSFORMER RAW MILL 1,                 "
E06TR02          ,"TRANSFORMER RAW MILL 1 & COAL MILL A,   "
E07PL01          ,"PANEL, 415V PREHEATER 1, CAP BANK       "
E07PL02          ,PANEL BATTERY CHARGER LINE 1 (PL1)      
E07SW01          ,SWITCH GEAR L/S RP DEPT 415V PANEL ER 9 
E07TR01          ,"TRANSFORMER L/STONE RP DEPT,            "
E08PL01          ,"PANEL, LCP L1 STRING 1EP OLD, CHAMBER 1 "
E08PL02          ,"PANEL, LCP L1 STRING 1EP OLD, CHAMBER 2 "
E08PL03          ,"PANEL, LCP STRING A FLMILJO, CHAMBER 1  "
E08PL04          ,"PANEL, LCP STRING A FLMILJO, CHAMBER 2  "
E08PL05          ,"PANEL, LCP STRING A FLMILJO, CHAMBER 3  "
E08PL06          ,"PANEL, LCP L1 STRING 2EP, CHAMBER 1     "
E08PL07          ,"PANEL, LCP L1 STRING 2EP, CHAMBER 2     "
E08PL08          ,"PANEL, LCP L1 STRING 2EP, CHAMBER 3     "
E08SW01          ,SWITCH GEAR PREHEATER 1 415V PANEL ER13 
E08TR01          ,"TRANSFORMER 42B-1T1 PREHEATER 1 DEPT,   "
E08TR02          ,"TRANSFORMER L1 STRING 1EP OLD, CHAMBER 1"
E08TR03          ,"TRANSFORMER L1 STRING 1EP OLD, CHAMBER 2"
E08TR04          ,"TRANS L1 STRING A FLMILJO, CHAMBER 1    "
E08TR05          ,"TRANS L1 STRING A FLMILJO, CHAMBER 2    "
E08TR06          ,"TRANS L1 STRING A FLMILJO, CHAMBER 3    "
E08TR07          ,"TRANSFORMER L1 STRING 2EP, CHAMBER 1    "
E08TR08          ,"TRANSFORMER L1 STRING 2EP, CHAMBER 2    "
E08TR09          ,"TRANSFORMER L1 STRING 2EP, CHAMBER 3    "
E08TR10          ,TRANSFORMER 42A-1T1 42AFN01             
E08TR11          ,"TRANSFORMER 461-1T1 KILN1 MAIN DRIVE,   "
E08TR12          ,"TRANSFORMER 42B-1T1 42BFN01,            "
E08TR13          ,"TRANSFORMER 4P1-1T1 L1 KILN FEED,       "
E09PL09          ,"PANEL, DC KILN 1 MAIN DRIVE, ER13       "
E09PL10          ,"PANEL, VVVF L1 STRING 2 IDF, ER13       "
E09SW01          ,SWITCH GEAR L1 COOLER 415V PANEL        
E09TR01          ,"TRANSFORMER 4P1-1T3 L1 COOLER,          "
E09TR02          ,"TRANSFORMER 4P1-1T2 COOLER TRANSPORT,   "
E10PL01          ,"PANEL, 415V L1 COOLER, CAP BANK ER8     "
E10PL02          ,"PANEL, 415V L1 COOLER T'PORT,CAPBANK ER8"
E10PL03          ,"PANEL, LCP L1 COOLER GRATE, 1, ER8      "
E10PL04          ,"PANEL, LCP L1 COOLER GRATE, 2, ER8      "
E10PL05          ,"PANEL, 415V L1 COAL MILL 3, CAP BANK ER8"
E10PL07          ,"PANEL, UPS L1, ER8 (IWATEC)             "
E10SW01          ,SWITCH GEAR L1 COOLER TRANS. PANEL ER8  
E11PL01          ,"PANEL, CONTROL L1 STANDBY GEN SET, ER11 "
E11SW01          ,SWITCH GEAR L1 STANDBY GEN SET 415V ER11
E12PL01          ,"PANEL, CONTROL L1 CEMENT MILL 1, CM1CR  "
E12SW01          ,SWITCH GEAR L1 COAL 3 415V PANEL ER8    
E12TR01          ,TRANSFORMER AIB-1T1 COAL MILL B         
E13PL01          ,"PANEL, CONTROL L1 CEMENT MILL 2, CM2CR  "
E13PL02          ,"PANEL, CONTROL MCC - L1 POZZOLAN CEMENT "
E13SW01          ,SWITCH GEAR L1 COAL MILL 1 415V PANEL   
E14SW01          ,SWITCH GEAR L1 CEMENT 1 415V PANEL CM1CR
E14TR01          ,TRANSFORMER L1 CEMENT MILL 1            
E15SW01          ,SWITCH GEAR L1 CEMENT 2 415V PANEL MCC  
E15TR01          ,"TRANSFORMER L1 CEMENT MILL 2,           "
